,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,22117,04,13,17,18,28,29,06
167,22116,08,14,26,27,30,33,01
168,22115,06,07,18,20,27,29,09
169,22114,01,05,15,19,26,29,13
170,22113,13,14,20,24,27,29,02
171,22112,03,05,08,17,25,31,01
172,22111,02,10,11,13,28,31,01
173,22110,09,13,15,18,20,28,15
174,22109,04,11,13,19,22,33,11
175,22108,01,07,13,17,18,31,15
176,22107,03,09,11,15,19,28,16
177,22106,17,20,22,23,24,31,01
178,22105,06,12,13,15,21,23,15
179,22104,01,08,19,25,26,31,01
180,22103,06,09,12,14,20,28,10
181,22102,09,10,12,18,29,32,14
182,22101,04,16,18,19,27,28,04
183,22100,02,06,07,15,20,21,15
184,22099,01,11,23,24,26,32,15
185,22098,02,03,04,06,21,33,05
186,22097,04,05,10,13,30,31,14
187,22096,03,16,17,19,25,33,07
188,22095,04,13,14,18,20,28,08
189,22094,06,11,13,16,19,31,02
190,22093,21,22,24,28,29,32,14
191,22092,07,10,16,20,21,27,11
192,22091,08,18,20,22,24,28,10
193,22090,01,04,25,27,29,30,07
194,22089,02,07,15,29,31,33,15
195,22088,03,09,15,17,20,22,06
196,22087,05,06,09,13,23,25,08
197,22086,01,04,08,21,23,24,11
198,22085,07,09,14,31,32,33,13
199,22084,03,18,23,24,25,32,09
200,22083,08,12,13,14,19,20,05
201,22082,04,10,11,23,30,32,14
202,22081,04,08,11,21,27,30,01
203,22080,05,12,15,17,18,27,04
204,22079,01,09,15,17,22,23,16
205,22078,01,04,05,15,17,31,09
206,22077,03,17,18,19,20,27,16
207,22076,08,09,10,13,24,29,02
208,22075,01,02,04,25,26,30,10
209,22074,05,07,15,19,29,33,15
210,22073,06,10,14,15,26,29,12
211,22072,05,14,15,16,18,32,12
212,22071,04,07,15,18,29,33,01
213,22070,04,06,09,27,28,33,02
214,22069,06,07,13,19,26,29,08
215,22068,07,12,15,24,26,29,06
216,22067,01,05,13,21,26,29,15
217,22066,06,11,14,20,27,30,09
218,22065,09,14,18,23,28,31,02
219,22064,04,06,12,13,17,31,16
220,22063,06,08,09,17,22,31,11
221,22062,16,18,20,21,23,33,05
222,22061,01,03,16,18,29,33,06
223,22060,16,18,19,24,28,32,01
224,22059,06,09,18,19,29,33,06
225,22058,06,13,14,23,31,33,01
226,22057,12,15,20,26,30,33,16
227,22056,01,06,11,14,17,26,15
228,22055,02,04,09,26,28,33,03
229,22054,08,12,21,27,28,33,11
230,22053,10,14,18,23,27,33,15
231,22052,07,24,27,29,31,32,15
232,22051,02,05,11,17,21,33,01
233,22050,03,05,08,14,27,33,08
234,22049,02,04,07,18,25,26,10
235,22048,05,07,17,20,26,31,14
236,22047,03,07,08,14,27,30,09
237,22046,02,11,24,25,27,30,14
238,22045,03,12,17,18,19,28,04
239,22044,01,07,08,21,23,29,06
240,22043,02,17,20,23,25,27,08
241,22042,05,10,11,21,22,30,13
242,22041,05,07,21,22,24,29,14
243,22040,03,12,14,16,31,33,12
244,22039,02,06,07,10,15,20,05
245,22038,09,12,13,16,24,32,04
246,22037,01,10,13,20,22,32,14
247,22036,02,03,14,16,26,31,02
248,22035,08,12,13,19,23,25,15
249,22034,14,17,26,31,32,33,10
250,22033,05,12,19,22,25,26,05
251,22032,04,10,11,14,23,32,07
252,22031,01,10,11,22,26,32,07
253,22030,12,23,24,26,27,30,05
254,22029,03,08,10,13,26,32,08
255,22028,05,11,20,22,23,29,09
256,22027,14,15,18,19,26,32,09
257,22026,03,04,10,15,22,24,02
258,22025,06,19,24,25,28,32,04
259,22024,07,09,10,14,19,24,15
260,22023,07,12,17,19,24,25,02
261,22022,01,07,11,15,17,19,06
262,22021,03,07,22,24,26,31,14
263,22020,09,11,14,22,30,32,01
264,22019,05,06,14,20,21,25,08
265,22018,07,11,16,17,30,32,16
266,22017,06,09,24,29,30,32,07
267,22016,05,10,19,20,29,31,14
268,22015,06,14,16,27,28,31,07
269,22014,06,07,13,14,15,27,04
270,22013,02,03,04,07,10,18,15
271,22012,04,07,08,29,30,31,01
272,22011,06,15,23,24,25,33,15
273,22010,12,18,19,20,21,32,15
274,22009,04,15,17,19,25,28,16
275,22008,02,03,07,09,20,21,13
276,22007,01,20,22,23,25,28,16
277,22006,03,06,09,15,22,31,02
278,22005,07,10,12,16,19,31,16
279,22004,05,19,24,28,30,32,14
280,22003,02,05,16,17,18,30,06
281,22002,02,12,21,23,25,31,08
282,22001,06,13,15,17,20,21,03
283,21150,09,14,20,21,24,26,04
284,21149,05,10,15,18,19,32,05
285,21148,10,12,15,17,19,20,08
286,21147,05,10,11,13,27,28,09
287,21146,07,09,21,22,26,32,03
288,21145,04,07,10,14,16,26,09
289,21144,02,05,13,15,23,26,07
290,21143,01,09,11,13,20,29,09
291,21142,04,07,17,19,20,24,16
292,21141,01,14,19,23,26,30,10
293,21140,05,10,16,26,27,33,01
294,21139,12,14,19,23,24,27,01
295,21138,11,14,15,16,27,32,09
296,21137,03,07,10,14,21,24,01
297,21136,02,06,09,15,19,28,16
298,21135,03,10,17,19,21,31,04
299,21134,01,02,16,19,25,31,08
300,21133,01,03,12,19,27,31,10
301,21132,01,04,06,14,20,28,08
302,21131,08,11,18,19,20,24,01
303,21130,08,09,15,24,26,30,06
304,21129,04,15,21,27,28,29,10
305,21128,05,17,20,21,23,33,04
306,21127,07,15,16,20,27,29,07
307,21126,19,20,23,27,28,31,01
308,21125,14,19,20,23,24,31,09
309,21124,01,03,18,22,29,32,02
310,21123,06,14,15,19,29,31,05
311,21122,04,05,12,15,18,28,07
312,21121,04,05,12,16,22,30,15
313,21120,01,07,08,12,13,18,05
314,21119,03,09,10,11,28,29,13
315,21118,02,06,14,18,20,31,13
316,21117,03,05,17,21,27,33,04
317,21116,06,14,17,18,31,33,06
318,21115,02,10,12,15,24,27,08
319,21114,04,06,08,14,24,27,02
320,21113,04,07,10,22,27,30,02
321,21112,05,06,21,25,28,33,07
322,21111,17,20,22,23,26,28,06
323,21110,10,13,15,24,31,32,02
324,21109,02,03,10,17,20,26,16
325,21108,11,15,18,24,26,32,09
326,21107,02,03,17,19,25,30,01
327,21106,01,04,07,14,30,31,03
328,21105,10,14,15,22,27,32,09
329,21104,01,07,17,20,22,28,15
330,21103,10,13,15,25,29,30,15
331,21102,05,09,15,24,27,30,09
332,21101,02,04,12,22,29,31,01
333,21100,07,09,12,13,14,29,16
334,21099,09,11,17,18,20,27,15
335,21098,01,10,13,18,26,32,05
336,21097,03,11,12,13,25,28,12
337,21096,01,07,11,14,15,26,11
338,21095,08,12,17,24,27,28,13
339,21094,09,11,24,25,28,33,15
340,21093,05,11,15,23,28,33,03
341,21092,02,07,08,10,12,31,03
342,21091,04,06,16,24,26,33,16
343,21090,05,06,12,14,27,28,08
344,21089,01,02,07,13,23,24,12
345,21088,04,12,15,16,19,26,06
346,21087,02,13,16,19,23,24,04
347,21086,06,08,10,14,28,29,01
348,21085,05,06,07,11,14,20,02
349,21084,05,07,09,11,21,28,01
350,21083,04,09,11,25,28,33,04
351,21082,03,06,11,13,26,32,05
352,21081,01,03,05,18,22,23,01
353,21080,05,08,22,23,24,29,09
354,21079,01,03,10,24,28,29,13
355,21078,04,06,15,26,27,31,12
356,21077,08,15,17,25,27,30,10
357,21076,03,09,21,23,30,32,06
358,21075,12,15,16,21,22,29,01
359,21074,04,05,09,14,25,27,07
360,21073,01,06,18,22,24,25,08
361,21072,01,09,15,16,19,21,15
362,21071,01,07,24,31,32,33,08
363,21070,01,05,11,15,16,29,15
364,21069,06,11,18,20,23,26,05
365,21068,04,14,18,24,31,32,15
366,21067,01,11,19,23,25,29,09
367,21066,02,06,19,26,30,33,15
368,21065,01,04,08,19,29,33,16
369,21064,04,06,08,15,16,18,16
370,21063,04,05,06,09,23,24,09
371,21062,12,13,15,20,22,25,10
372,21061,04,09,12,18,20,23,01
373,21060,10,11,17,20,29,30,15
374,21059,01,09,11,18,32,33,14
375,21058,09,11,13,18,19,28,14
376,21057,05,06,09,17,25,33,16
377,21056,08,21,22,23,29,32,01
378,21055,03,11,12,16,22,28,10
379,21054,07,13,21,22,24,31,02
380,21053,07,10,14,16,24,33,16
381,21052,03,04,06,19,21,30,14
382,21051,08,09,10,19,27,29,15
383,21050,02,09,10,16,25,28,08
384,21049,04,11,13,22,25,32,01
385,21048,04,15,17,22,29,32,03
386,21047,03,07,13,16,24,29,01
387,21046,05,09,13,21,28,33,06
388,21045,01,04,14,15,17,32,02
389,21044,05,07,14,17,26,28,13
390,21043,02,03,17,18,23,24,01
391,21042,05,09,10,22,25,27,08
392,21041,02,09,18,23,26,32,14
393,21040,02,06,07,24,28,29,16
394,21039,02,08,21,24,29,31,13
395,21038,05,07,09,16,18,27,06
396,21037,13,17,19,24,26,30,12
397,21036,01,02,06,11,21,26,11
398,21035,12,14,18,20,26,28,11
399,21034,04,10,12,18,23,25,01
400,21033,02,12,13,14,31,33,06
401,21032,01,05,08,15,16,30,03
402,21031,06,11,21,25,28,31,07
403,21030,08,09,13,27,29,31,05
404,21029,08,10,15,17,22,30,12
405,21028,11,16,23,26,27,33,05
406,21027,05,07,09,16,20,26,08
407,21026,03,05,13,19,20,25,03
408,21025,06,08,14,17,18,30,11
409,21024,01,04,06,10,11,18,02
410,21023,02,21,22,23,27,28,11
411,21022,10,15,17,25,31,32,06
412,21021,04,08,17,24,28,33,13
413,21020,01,03,06,07,09,11,02
414,21019,12,16,17,24,28,29,08
415,21018,02,08,14,23,25,32,06
416,21017,09,15,18,29,32,33,02
417,21016,03,08,09,13,15,18,10
418,21015,06,14,16,26,28,29,07
419,21014,04,15,21,25,29,33,06
420,21013,06,09,12,16,27,31,06
421,21012,03,06,14,18,20,26,01
422,21011,05,10,16,23,27,33,14
423,21010,01,04,11,19,32,33,05
424,21009,02,04,07,24,25,32,13
425,21008,01,05,07,14,18,33,07
426,21007,02,04,12,21,25,32,16
427,21006,06,08,22,24,25,26,01
428,21005,07,09,14,26,30,31,04
429,21004,02,03,07,08,17,22,15
430,21003,06,09,16,18,22,29,11
431,21002,06,10,13,25,26,32,11
432,21001,02,03,13,18,20,31,11
433,20134,02,09,10,20,22,26,01
434,20133,03,19,22,23,27,29,07
435,20132,01,04,11,12,14,23,04
436,20131,08,19,22,26,27,30,07
437,20130,08,09,11,14,17,29,16
438,20129,01,02,05,15,28,33,04
439,20128,08,10,15,16,23,26,10
440,20127,01,04,18,19,26,31,07
441,20126,03,07,12,14,23,28,11
442,20125,05,12,16,26,30,31,13
